patch,champ,role,picks_by,bans_vs
16.01,Jayce,top,0,6
16.01,Neeko,sup,0,6
16.01,Bard,sup,2,3
16.01,Aphelios,bot,2,2
16.01,Azir,mid,3,1
16.01,Malphite,jng,0,4
16.01,Rumble,top,2,2
16.01,Alistar,sup,2,1
16.01,Orianna,mid,1,2
16.01,Pantheon,jng,2,1
16.01,Poppy,sup,2,1
16.01,Xin Zhao,jng,3,0
16.01,Akali,mid,0,2
16.01,Ambessa,top,1,1
16.01,Ezreal,bot,0,2
16.01,Gnar,top,1,1
16.01,Jarvan IV,jng,1,1
16.01,Jhin,bot,2,0
16.01,Lucian,bot,2,0
16.01,Nocturne,jng,0,2
16.01,Qiyana,jng,1,1
16.01,Ryze,mid,2,0
16.01,Sivir,bot,1,1
16.01,Varus,bot,0,2
16.01,Blitzcrank,sup,1,0
16.01,Corki,bot,0,1
16.01,Dr. Mundo,jng,1,0
16.01,K'Sante,top,1,0
16.01,Kai'Sa,bot,1,0
16.01,Leona,sup,1,0
16.01,Nami,sup,1,0
16.01,Renekton,top,1,0
16.01,Ryze,top,1,0
16.01,Sion,top,1,0
16.01,Sylas,mid,1,0
16.01,Thresh,sup,0,1
16.01,Viktor,mid,1,0
16.01,Wukong,jng,1,0
16.01,Yone,mid,1,0
16.01,Yorick,top,1,0
16.01,Yunara,bot,0,1
16.01,Zeri,bot,1,0
16.02,Jayce,top,0,6
16.02,Orianna,mid,0,6
16.02,Bard,sup,2,2
16.02,Renekton,top,3,1
16.02,Rumble,top,1,3
16.02,Ryze,mid,1,3
16.02,Vi,jng,2,2
16.02,Xin Zhao,jng,3,1
16.02,Azir,mid,2,1
16.02,Malphite,jng,0,3
16.02,Varus,bot,1,2
16.02,Akali,mid,0,2
16.02,Alistar,sup,2,0
16.02,Aphelios,bot,2,0
16.02,Galio,mid,2,0
16.02,Karma,sup,1,1
16.02,Lucian,bot,1,1
16.02,Lulu,sup,1,1
16.02,Nami,sup,1,1
16.02,Neeko,sup,0,2
16.02,Nocturne,jng,1,1
16.02,Poppy,sup,1,1
16.02,Qiyana,jng,2,0
16.02,Sion,top,2,0
16.02,Sylas,mid,2,0
16.02,Viktor,mid,1,1
16.02,Ahri,mid,0,1
16.02,Ambessa,top,1,0
16.02,Aurora,top,1,0
16.02,Blitzcrank,sup,0,1
16.02,Corki,bot,1,0
16.02,Ezreal,bot,1,0
16.02,Gnar,top,0,1
16.02,Jarvan IV,jng,0,1
16.02,Jax,top,1,0
16.02,Jayce,jng,1,0
16.02,K'Sante,top,1,0
16.02,Kai'Sa,bot,1,0
16.02,Kalista,bot,1,0
16.02,Leona,sup,0,1
16.02,Milio,sup,1,0
16.02,Nautilus,sup,0,1
16.02,Pantheon,jng,1,0
16.02,Rakan,sup,0,1
16.02,Renata Glasc,sup,1,0
16.02,Sivir,bot,1,0
16.02,Taliyah,mid,1,0
16.02,Thresh,sup,0,1
16.02,Viego,jng,0,1
16.02,Yone,mid,1,0
16.02,Yunara,bot,1,0
16.03,Poppy,sup,2,5
16.03,Neeko,sup,1,5
16.03,Nocturne,jng,1,5
16.03,Ambessa,top,2,3
16.03,Orianna,mid,0,5
16.03,Rumble,top,1,4
16.03,Vi,jng,1,4
16.03,Xin Zhao,jng,3,2
16.03,Ahri,mid,3,1
16.03,Aphelios,bot,3,1
16.03,Bard,sup,3,1
16.03,Gnar,top,4,0
16.03,Gwen,top,1,3
16.03,Lucian,bot,1,3
16.03,Sivir,bot,2,2
16.03,Varus,bot,2,2
16.03,Alistar,sup,1,2
16.03,Azir,mid,3,0
16.03,Jayce,top,1,2
16.03,K'Sante,top,0,3
16.03,Lulu,sup,2,1
16.03,Nami,sup,1,2
16.03,Taliyah,mid,1,2
16.03,Yunara,bot,3,0
16.03,Akali,mid,1,1
16.03,Galio,mid,1,1
16.03,Jarvan IV,jng,0,2
16.03,Karma,sup,1,1
16.03,Miss Fortune,bot,2,0
16.03,Nautilus,sup,0,2
16.03,Pantheon,jng,2,0
16.03,Qiyana,jng,2,0
16.03,Rakan,sup,1,1
16.03,Ryze,mid,2,0
16.03,Sylas,mid,1,1
16.03,Thresh,sup,2,0
16.03,Trundle,jng,2,0
16.03,Viktor,mid,1,1
16.03,Wukong,jng,2,0
16.03,Zaahen,top,2,0
16.03,Ambessa,jng,1,0
16.03,Annie,mid,1,0
16.03,Ashe,bot,0,1
16.03,Aurora,mid,1,0
16.03,Blitzcrank,sup,0,1
16.03,Corki,bot,1,0
16.03,Dr. Mundo,jng,0,1
16.03,Jax,top,0,1
16.03,Kai'Sa,bot,1,0
16.03,Lee Sin,jng,0,1
16.03,Malphite,top,1,0
16.03,Olaf,top,1,0
16.03,Rell,sup,1,0
16.03,Renekton,top,1,0
16.03,Sion,top,1,0
16.03,Xayah,bot,0,1
16.03,Yone,mid,0,1
16.03,Zaahen,jng,1,0
16.06,Bard,sup,0,4
16.06,Pantheon,jng,0,4
16.06,Neeko,sup,1,2
16.06,Ambessa,top,2,0
16.06,Anivia,sup,2,0
16.06,Azir,mid,2,0
16.06,Jarvan IV,jng,0,2
16.06,Jayce,top,1,1
16.06,Karma,sup,0,2
16.06,Nami,sup,1,1
16.06,Vi,jng,0,2
16.06,Wukong,jng,2,0
16.06,Annie,mid,0,1
16.06,Aphelios,bot,1,0
16.06,Ashe,bot,0,1
16.06,Aurora,mid,1,0
16.06,Corki,bot,1,0
16.06,Gnar,top,1,0
16.06,Kai'Sa,bot,1,0
16.06,Lee Sin,jng,1,0
16.06,Lulu,sup,0,1
16.06,Nocturne,jng,1,0
16.06,Orianna,mid,0,1
16.06,Rumble,top,0,1
16.06,Ryze,mid,0,1
16.06,Sivir,bot,1,0
16.06,Sylas,mid,1,0
16.06,Thresh,sup,1,0
16.06,Twisted Fate,mid,0,1
16.06,Varus,bot,1,0
16.06,Viktor,mid,1,0
16.06,Xin Zhao,jng,1,0
16.06,Yorick,top,1,0
16.07,Nocturne,jng,3,4
16.07,Orianna,mid,0,6
16.07,Pantheon,jng,1,5
16.07,Azir,mid,1,4
16.07,Bard,sup,2,3
16.07,Neeko,sup,4,1
16.07,Rumble,top,0,5
16.07,Caitlyn,bot,3,1
16.07,Ambessa,top,1,2
16.07,Anivia,mid,1,2
16.07,Corki,bot,3,0
16.07,Gnar,top,3,0
16.07,Jarvan IV,jng,2,1
16.07,Jayce,top,3,0
16.07,Varus,bot,0,3
16.07,Vi,jng,3,0
16.07,Ahri,mid,0,2
16.07,Aurora,mid,2,0
16.07,Cassiopeia,mid,2,0
16.07,Ezreal,bot,1,1
16.07,Jhin,bot,1,1
16.07,Kai'Sa,bot,1,1
16.07,Lulu,sup,1,1
16.07,Ryze,mid,2,0
16.07,Viktor,mid,1,1
16.07,Akali,mid,0,1
16.07,Alistar,sup,1,0
16.07,Annie,mid,0,1
16.07,Aphelios,bot,1,0
16.07,Galio,mid,0,1
16.07,Gwen,top,0,1
16.07,K'Sante,top,0,1
16.07,Karma,sup,1,0
16.07,Kennen,top,1,0
16.07,LeBlanc,mid,0,1
16.07,Mel,mid,0,1
16.07,Nami,sup,1,0
16.07,Poppy,sup,0,1
16.07,Renekton,top,0,1
16.07,Sion,top,1,0
16.07,Sivir,bot,0,1
16.07,Skarner,jng,1,0
16.07,Taliyah,mid,1,0
16.07,Thresh,sup,1,0
16.07,Varus,top,1,0
16.07,Wukong,jng,1,0
16.07,Xin Zhao,jng,0,1
16.07,Yone,mid,1,0
16.07,Yunara,bot,1,0
16.07,Zaahen,top,1,0
16.08,Nocturne,jng,2,4
16.08,Jayce,top,1,4
16.08,Rumble,top,1,4
16.08,Varus,bot,0,5
16.08,Yunara,bot,4,1
16.08,Azir,mid,4,0
16.08,Bard,sup,3,1
16.08,Jarvan IV,jng,0,4
16.08,Karma,sup,0,4
16.08,Pantheon,jng,1,3
16.08,Caitlyn,bot,1,2
16.08,Kai'Sa,bot,2,1
16.08,Neeko,sup,2,1
16.08,Xin Zhao,jng,3,0
16.08,Ambessa,top,1,1
16.08,Corki,bot,1,1
16.08,Gnar,top,2,0
16.08,Jhin,bot,2,0
16.08,Lulu,sup,2,0
16.08,Orianna,mid,2,0
16.08,Ryze,mid,2,0
16.08,Skarner,top,2,0
16.08,Vayne,top,0,2
16.08,Vi,jng,0,2
16.08,Wukong,jng,2,0
16.08,Alistar,sup,1,0
16.08,Anivia,mid,0,1
16.08,Annie,mid,1,0
16.08,Ashe,bot,0,1
16.08,Ezreal,bot,0,1
16.08,K'Sante,top,0,1
16.08,Kalista,bot,0,1
16.08,Kennen,top,1,0
16.08,Lucian,bot,0,1
16.08,Maokai,jng,1,0
16.08,Naafiri,jng,0,1
16.08,Nami,sup,1,0
16.08,Nautilus,sup,0,1
16.08,Poppy,sup,1,0
16.08,Sion,top,1,0
16.08,Skarner,jng,0,1
16.08,Trundle,jng,1,0
16.08,Varus,top,1,0
16.08,Yone,mid,1,0
16.09,Bard,sup,2,4
16.09,Nocturne,jng,1,4
16.09,Rumble,top,0,5
16.09,Azir,mid,0,4
16.09,Karma,sup,0,4
16.09,Orianna,mid,0,4
16.09,Varus,bot,0,4
16.09,Ahri,mid,2,1
16.09,Ambessa,top,2,1
16.09,Annie,mid,2,1
16.09,Ashe,bot,3,0
16.09,Jarvan IV,jng,2,1
16.09,Jayce,top,1,2
16.09,Neeko,sup,2,1
16.09,Seraphine,sup,3,0
16.09,Sion,top,2,1
16.09,Vayne,top,0,3
16.09,Caitlyn,bot,2,0
16.09,Ezreal,bot,2,0
16.09,Jhin,bot,2,0
16.09,Renekton,top,2,0
16.09,Vi,jng,2,0
16.09,Viktor,mid,2,0
16.09,Xin Zhao,jng,2,0
16.09,Akali,mid,0,1
16.09,Alistar,sup,1,0
16.09,Anivia,sup,1,0
16.09,Aurora,mid,1,0
16.09,Cassiopeia,mid,0,1
16.09,Gnar,top,1,0
16.09,K'Sante,top,0,1
16.09,Lulu,sup,0,1
16.09,Nami,sup,0,1
16.09,Ryze,mid,1,0
16.09,Skarner,top,1,0
16.09,Trundle,jng,1,0
16.09,Twisted Fate,mid,1,0
16.09,Wukong,jng,1,0
16.10,Rumble,top,0,3
16.10,Akali,mid,0,2
16.10,Bard,sup,1,1
16.10,Karma,sup,0,2
16.10,Nocturne,jng,1,1
16.10,Varus,bot,0,2
16.10,Xin Zhao,jng,2,0
16.10,Ambessa,top,1,0
16.10,Anivia,mid,1,0
16.10,Annie,mid,1,0
16.10,Ashe,bot,1,0
16.10,Aurora,mid,0,1
16.10,Azir,mid,0,1
16.10,Caitlyn,bot,1,0
16.10,Cassiopeia,mid,0,1
16.10,Ezreal,bot,0,1
16.10,Gnar,top,0,1
16.10,Jarvan IV,jng,0,1
16.10,Jayce,top,1,0
16.10,Jhin,bot,1,0
16.10,Lulu,sup,1,0
16.10,Neeko,sup,1,0
16.10,Orianna,mid,0,1
16.10,Ryze,mid,1,0
16.10,Seraphine,sup,1,0
16.10,Sion,top,1,0
16.10,Sivir,bot,1,0
16.10,Teemo,top,1,0
16.10,Twisted Fate,mid,1,0
16.10,Vi,jng,1,0
16.10,Viktor,mid,0,1
16.10,Yorick,top,0,1
